name,business_id
Winkle,oIr50siZDtDYCE_p5K8nYA
Mission Taqueria ,G9LZoNlCfRH941q87_JLIg
Hardena,l8VedGQFMLtTz2zRmpTlxA
Cake Life,J-ciDDEdIHMcChGIyKZnOg
Mina's World,wSuEwNNOTSH8LJcH1PJAYg
Burgertime,SL_G5kRedFdLCqBRHDp-9Q
Menagerie Coffee,49Gyz-LD9MxTh1yzbYiOhw
Bike Stop,FCBrbR6GpRop7DCMQ1tpZA
Oyster House,poviu-6n3iaRE4gdQz6OYw
Darnel's Cake,dbfm8H0KQRrxT_QSXrQZ-A
The Toasted Walnut ,cRJIf2i9LX8X8DKDG2qjiQ
Philly AIDS Thrift,2T5t9DguNoYQAoTpA_8mcw
Philly AIDS Thrift @ Giovani's Room,bUrLq4G3ZSvBzm2hBQKYnA
V Marks the Shop,2CvbV_ChCveXzg076b4TMA
Tattooed Mom,REiAM73RkOxFqCVlEFiRWA
Philly Sugaring,1g9l21XtPm_t0erf_Tt4AA
South Street Art Mart,9puopNSFDtjiRbkbsucVOg
William Way LGBT Community Center,BmRiZG7YUTQ1lfK61J6zLA
Rainbow Voyages Travel,Z3rkYXXEmQ5o9WJwznQrQA
Sentry Arts,7k3C4P2YsNgwGIhvh95RjA
Stir Lounge,CeNiaICi59dWhfzfKnh8lQ
Club Philly,NjgeXPgv0FcdEsy-2ULWUQ
Adonis Cinema ,z65tiTFYszkAJ4NhLpkiBA
El Vez,9PZxjhTIU7OgPIzuGi89Ew
Bob and Barbara's Lounge,ZH41CKIlAZrrQD-DMV2TWA
Raven Lounge,d9bcNc20M6jXF5V1PiujgA
THe Barbary ,nQTJn9kdpU9Mns-b_qduVw
Franky Bradley's ,N_6lpdW1jhAx1EVcHJPK5g
JJ Bootleggers,qJxOT7bo-PdW1-xx3nK8SQ
"Atlantis, The Lost Bar",JtxubrvRdst9xsmCZV6keg
Level Up Bar & Lounge,Qc974_Ezjpqg2wW5uoEUxA
Danny's Midnight COnfessions,9UD0Smup80sh-c7zc9ySdA
Cockatoo,z5LvLuGqXBU20qhVDx0ppA
Tavern On Camac,HCN3XWVqv04fws8vkC4H7w
Knock,S6q5t-TGc_je8ssh06zTYw
Bike Stop,FCBrbR6GpRop7DCMQ1tpZA
Tabu Lounge & Sports Bar,8FALz8g6oaTca0ufiUuF6w
U Bar,#NAME?
Woody's,wPi7p5fZyGTOjDU28IlTqA
Stir Lounge,CeNiaICi59dWhfzfKnh8lQ
Rosewood Bar,9RotEBfTRO5rZl2StsC5Og
Bar X,43_EES4bS7l-jQVZhqx9Pw
Voyeur Nightclub,IORvbG2rAIVJ-1d148cCmg
Jocks PHL,Qc974_Ezjpqg2wW5uoEUxA
Crimson Moon Tavern,WtshUxJurSLWfEkdciY0gw